
xv6 kernel is booting

hart 1 starting
hart 2 starting
init: starting sh
$ trace 2 usertests forkforkfork
usertests starting
3: syscall fork -> 4
test forkforkfork: 3: syscall fork -> 5
5: syscall fork -> 6
6: syscall fork -> 7
6: syscall fork -> 8
7: syscall fork -> 9
6: syscall fork -> 10
8: syscall fork -> 11
7: syscall fork -> 12
8: syscall fork -> 13
6: syscall fork -> 14
7: syscall fork -> 15
8: syscall fork -> 16
9: syscall fork -> 17
7: syscall fork -> 18
6: syscall fork -> 19
8: syscall fork -> 20
7: syscall fork -> 21
9: syscall fork -> 22
8: syscall fork -> 23
7: syscall fork -> 24
9: syscall fork -> 25
8: syscall fork -> 26
6: syscall fork -> 27
9: syscall fork -> 28
8: syscall fork -> 29
7: syscall fork -> 30
9: syscall fork -> 31
8: syscall fork -> 32
6: syscall fork -> 33
7: syscall fork -> 34
9: syscall fork -> 35
8: syscall fork -> 36
7: syscall fork -> 37
6: syscall fork -> 38
9: syscall fork -> 39
7: syscall fork -> 40
6: syscall fork -> 41
9: syscall fork -> 42
7: syscall fork -> 43
8: syscall fork -> 44
9: syscall fork -> 45
6: syscall fork -> 46
8: syscall fork -> 47
7: syscall fork -> 48
6: syscall fork -> 49
8: syscall fork -> 50
7: syscall fork -> 51
9: syscall fork -> 52
8: syscall fork -> 53
6: syscall fork -> 54
7: syscall fork -> 55
8: syscall fork -> 56
6: syscall fork -> 57
9: syscall fork -> 58
7: syscall fork -> 59
6: syscall fork -> 60
9: syscall fork -> 61
7: syscall fork -> 62
6: syscall fork -> 63
9: syscall fork -> 64
8: syscall fork -> 65
7: syscall fork -> -1
9: syscall fork -> -1
6: syscall fork -> -1
8: syscall fork -> -1
OK
3: syscall fork -> 66
ALL TESTS PASSED
$ qemu-system-riscv64: terminating on signal 15 from pid 550152 (make)
